check,施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
,1023,鶴甲テニスガーデンテニスコート,657-0011,灘区鶴甲5-1-6,,078-851-5850,,34.737171,135.237853,灘区,スポーツ
,1024,王子スポーツセンターテニスコート,657-0805,灘区青谷町1-1-1,,078-802-0223,,34.711326,135.21264,灘区,スポーツ
,1025,港島立体駐車場テニスコート,650-0046,中央区港島中町2-3,,078-302-5108,,34.671116,135.215373,中央区,スポーツ
delta=0.0046,1026,しあわせの村テニスコート,651-1102,北区山田町下谷上字中一里山14-1,,078-743-8080,,34.712774,135.117515,北区,スポーツ
,1027,大原山公園テニスコート,651-1222,北区大原2-31,,078-583-4820,,34.744645,135.137401,北区,スポーツ
delta=0.0045,1028,掖谷（ねぶたに）公園テニスコート,651-1514,北区鹿の子台南町5-2,,078-951-0061,,34.856896,135.211578,北区,スポーツ
,1029,名谷テニスガーデンテニスコート,654-0142,須磨区友が丘9,,078-792-8080,,34.67111,135.088583,須磨区,スポーツ
delta=0.0054,1030,神戸総合運動公園テニスコート,654-0163,須磨区緑台,,078-794-0911,,34.676763,135.076931,須磨区,スポーツ
delta=0.0028,1031,海浜公園テニスコート,654-0049,須磨区若宮町1,,078-731-7327,,34.644586,135.132139,須磨区,スポーツ
delta=0.0038,1032,垂水スポーツガーデンテニスコート,655-0892,垂水区平磯1,,078-751-1212,,34.62652,135.062101,垂水区,スポーツ
,1033,本多聞南公園テニスコート,655-0006,垂水区本多聞7-3,,078-781-3865,,34.652713,135.041775,垂水区,スポーツ
delta=0.0061,1034,垂水健康公園テニスコート,655-0852,垂水区名谷町字丸尾,,078-709-2400,,34.657983,135.063447,垂水区,スポーツ
delta=0.0016,1035,西神ニュータウンテニスガーデンテニスコート,651-2271,西区高塚台4-12,,078-991-2477,,34.722808,135.022453,西区,スポーツ
delta=0.0072,1036,西神南テニスガーデンテニスコート,651-2242,西区井吹台東町7,,078-997-0293,,34.702728,135.045329,西区,スポーツ
delta=0.0034,1037,王子スポーツセンタープール,657-0838,灘区王子町3-1-1,,078-802-0223,,34.712487,135.214262,灘区,スポーツ
,1038,ポートアイランドスポーツセンタープール,650-0046,中央区港島中町6-12-1,,078-302-1031,,34.663116,135.210713,中央区,スポーツ
,1039,オージースポーツ神戸福祉スポーツセンタープール,651-0086,中央区磯上通3-1-32,,078-271-5332,,34.69283,135.20178,中央区,スポーツ
,1040,しあわせの村プール,651-1102,北区山田町下谷上字中一里山14-1,,078-743-8000,,34.708807,135.11538,北区,スポーツ
delta=0.0026,1041,フルーツ・フラワーパークプール,651-1522,北区大沢町上大沢2150,,078-954-1000,,34.848261,135.192223,北区,スポーツ
,1042,北須磨文化センタープール,654-0154,須磨区中落合3-1-2,,078-791-0840,,34.683968,135.095303,須磨区,スポーツ
,1043,瀬戸公園,658-0025,東灘区魚崎南町1-2-1,,078-436-8029,,34.712308,135.280017,東灘区,スポーツ
,1044,王子スタジアム,657-0838,灘区王子町2-1,,078-861-5627,,34.710026,135.216948,灘区,スポーツ
,1045,磯上公園,651-0085,中央区八幡通2-1,,078-221-4442,,34.691564,135.199128,中央区,スポーツ
delta=0.0026,1046,小野浜公園,651-0083,中央区浜辺通1-7-3,,078-232-1355,,34.688934,135.20348,中央区,スポーツ
,1047,ノエビアスタジアム神戸,652-0855,兵庫区御崎町1-2-2,,078-652-5656,,34.656805,135.168971,兵庫区,スポーツ
,1048,神戸総合運動公園,654-0068,須磨区緑台,,078-795-5151,,34.681755,135.075922,須磨区,スポーツ
delta=0.0070,1049,海浜公園,654-0049,須磨区若宮町1,,078-731-7327,,34.64352,135.127018,須磨区,スポーツ
delta=0.0032,1050,しあわせの村,651-1102,北区山田町下谷上字中一里山14-1,,078-743-8000,,34.705455,135.115045,北区,スポーツ
delta=0.0065,1051,北神戸田園スポーツ公園,651-1311,北区有野町二郎,,078-951-5901,,34.847557,135.222229,北区,スポーツ
delta=0.0079,1052,垂水健康公園,655-0852,垂水区名谷町字丸尾,,078-709-2400,,34.660287,135.064045,垂水区,スポーツ
delta=0.0020,1053,バレーボールコート王子スポーツセンター,657-0805,灘区青谷町1-1-1,,078-802-0223,,34.712591,135.214246,灘区,スポーツ
delta=0.0023,1055,陸上競技場しあわせの村,651-1102,北区山田町下谷上字中一里山14-1,,078-743-8000,,34.7109,135.116043,北区,スポーツ
delta=0.0047,1056,陸上競技場ユニバー記念競技場,654-0163,須磨区緑台,神戸総合運動公園内,078-793-6150,,34.682231,135.080286,須磨区,スポーツ
delta=0.0058,1057,キャンプ場自然の家,657-0101,灘区六甲山町中一里山1-1,,078-891-0001,,34.743805,135.213187,灘区,スポーツ
delta=0.0093,1058,キャンプ場洞川教育キャンプ場,651-1102,北区山田町下谷上字中一里山4-1,,078-232-1509,,34.729414,135.169518,北区,スポーツ
delta=0.0075,1059,キャンプ場しあわせの村オートキャンプ場・デイキャンプ場・テントキャンプ場,651-1102,北区山田町下谷上字中一里山14-1,,078-743-8000,,34.715278,135.112094,北区,スポーツ
delta=0.0212,1060,キャンプ場神戸青少年公園デイキャンプ場,651-1623,北区淡河町野瀬字南山,,078-958-0588,,34.800761,135.145222,北区,スポーツ
delta=0.0057,1061,キャンプ場いぶきの森,651-2242,西区井吹台東町,,078-997-0293,,34.702743,135.04527,西区,スポーツ
delta=0.0029,1062,ヨット須磨ヨットハーバー,654-0049,須磨区若宮町1-1-4,,078-735-7968,,34.642761,135.130969,須磨区,スポーツ
,1063,プレジャーボート神戸フィッシャリーナ,655-0036,垂水区海岸通12-5,マリンピア神戸内,078-707-1530,,34.625538,135.048505,垂水区,スポーツ
delta=0.0013,1064,サイクリングつくはらサイクリングターミナル,651-1264,北区山田町衝原,,078-581-8461,,34.769715,135.105794,北区,スポーツ
,1065,サイクリング神出サイクリングターミナル,651-2332,西区神出町北,神出ファームビレッジ内,078-965-2014,,34.751538,134.981109,西区,スポーツ
delta=0.0068,1066,乗馬しあわせの村馬事公苑,651-1102,北区山田町下谷上字中一里山14-1,,078-743-8022,,34.715377,135.11564,北区,スポーツ
delta=0.0078,1068,スポーツ広場（フットサルコートテニスコート）北神戸田園スポーツ公園,651-1311,北区有野町二郎,,078-951-5901,,34.847301,135.220574,北区,スポーツ
delta=0.0056,1069,軽スポーツ広場垂水健康公園,655-0852,垂水区名谷町字丸尾,,078-709-2400,,34.657597,135.063715,垂水区,スポーツ
delta=0.0036,1070,フットサルコート・多目的グラウンド垂水スポーツガーデン,655-0892,垂水区平磯1,,078-751-1212,,34.626549,135.061897,垂水区,スポーツ
delta=0.0064,1071,トレーニングセンター北神戸田園スポーツ公園,651-1311,北区有野町二郎,,078-951-5901,,34.847524,135.222237,北区,スポーツ
delta=0.0039,1072,グリーンアリーナ神戸トレーニングセンター,654-0163,須磨区緑台,神戸総合運動公園内,078-796-1126,,34.678316,135.074519,須磨区,スポーツ
,1073,ポートアイランドスポーツセンター,650-0046,中央区港島中町6-12-1,,078-302-1031,,34.663116,135.210713,中央区,スポーツ
,3121,兵庫県立文化体育館,653-0837,神戸市長田区蓮池町1-1,,078-631-1701,078-631-1073,34.663493,135.14386,長田区,スポーツ
,1074,神戸市総合インフォメーションセンター,651-0096,中央区雲井通8丁目,ＪＲ三ノ宮駅東口南側,078-322-0220,078-322-1201,34.694415,135.195166,中央区,レジャー施設
,1075,有馬温泉観光総合案内所,651-1401,北区有馬町790-3,,078-904-0708,078-903-2233,34.797772,135.247654,北区,レジャー施設
delta=0.0010,1076,新神戸駅観光案内所,650-0001,中央区加納町1-3-1,,078-241-9550,078-242-5420,34.706315,135.195688,中央区,レジャー施設
,1077,北野観光案内所,650-0002,中央区北野町3-10-20,,078-251-8360,078-251-8530,34.701373,135.189847,中央区,レジャー施設
delta=0.0041,1078,神戸空港総合案内所,650-0048,中央区神戸空港1,,078-304-7777,078-304-0678,34.636888,135.228762,中央区,レジャー施設
delta=0.0013,1094,王子動物園,657-0838,灘区王子町3-1,,078-861-5624,078-861-5640,34.710514,135.214898,灘区,レジャー施設
delta=0.0025,1095,旧ハンター住宅,657-0838,灘区王子町3-1,,078-861-5624,078-861-5640,34.712194,135.215,灘区,レジャー施設
,1096,神戸文学館,657-0838,灘区王子町3-1-2,,078-882-2028,078-882-2028,34.709101,135.21322,灘区,レジャー施設
,1097,兵庫県立美術館「芸術の館」,651-0073,中央区脇浜海岸通1-1-1,,078-262-0901,078-262-0903,34.699041,135.218114,中央区,レジャー施設
,1098,阪神・淡路大震災記念人と防災未来センター,651-0073,中央区脇浜海岸通1-5-2,,078-262-5050,078-262-5055,34.698214,135.214614,中央区,レジャー施設
,1099,神戸ファッション美術館,658-0032,東灘区向洋町中2-9-1,,078-858-0050,078-858-0058,34.68803,135.270177,東灘区,レジャー施設
,1100,神戸ゆかりの美術館,658-0032,東灘区向洋町中2-9-1,（神戸ファッション美術館1F）,078-858-1520,078-858-1522,34.688303,135.270655,東灘区,レジャー施設
,1101,小磯記念美術館,658-0032,東灘区向洋町中5-7,,078-857-5880,078-857-3737,34.692799,135.267214,東灘区,レジャー施設
,1102,神戸市立博物館,650-0034,中央区京町24,,078-391-0035,078-392-7054,34.687272,135.192884,中央区,レジャー施設
,1103,神戸ポートタワー,650-0042,中央区波止場町5-5,,078-391-6751,078-321-1072,34.682617,135.186734,中央区,レジャー施設
,1104,神戸海洋博物館・カワサキワールド,650-0042,中央区波止場町2-2,,078-327-8983,078-391-6756,34.68292,135.188334,中央区,レジャー施設
delta=0.0010,1105,神戸港震災メモリアルパーク,650-0042,中央区波止場町2,メリケンパーク内,078-327-8983,078-322-4739,34.683696,135.190064,中央区,レジャー施設
delta=0.0011,1110,神戸市水の科学博物館,652-0004,兵庫区楠谷町37-1,,078-351-4488,078-351-4343,34.694057,135.175819,兵庫区,レジャー施設
delta=0.0050,1111,みなと異人館,650-0045,中央区港島2-2,,078-302-0976,,34.676773,135.203921,中央区,レジャー施設
,1112,バンドー神戸青少年科学館,650-0046,中央区港島中町7-7-6,,078-302-5177,078-302-4816,34.666,135.218285,中央区,レジャー施設
,1114,相楽園,650-0004,中央区中山手通5-3-1,,078-351-5155,,34.69261,135.181797,中央区,レジャー施設
,1115,旧ハッサム住宅,650-0004,中央区中山手通5-3-1,,078-351-5155,,34.693151,135.181623,中央区,レジャー施設
,1117,北野工房のまち,650-0004,中央区中山手通3-17-1,,078-200-3607,078-221-6869,34.695566,135.187148,中央区,レジャー施設
,1118,風見鶏の館,650-0002,中央区北野町3-13-3,,078-242-3223,078-242-3253,34.701396,135.189475,中央区,レジャー施設
,1119,ラインの館,650-0002,中央区北野町2-10-24,,078-222-3403,078-222-3403,34.701126,135.191203,中央区,レジャー施設
,1120,萌黄の館,650-0002,中央区北野町3-10-11,,078-222-3310,078-222-3310,34.700979,135.189256,中央区,レジャー施設
,1121,神戸北野美術館,650-0002,中央区北野町2-9-6,,078-251-0581,078-251-0581,34.701284,135.191522,中央区,レジャー施設
,1122,うろこの家・うろこ美術館,650-0002,中央区北野町2-20-4,,078-242-6530,078-241-5537,34.702965,135.190678,中央区,レジャー施設
delta=0.0130,1123,神戸布引ハーブ園/ロープウェイ,650-0002,中央区北野町1-4-3,,078-271-1160,078-271-1180,34.717073,135.191166,中央区,レジャー施設
,1124,須磨海浜水族園,654-0049,須磨区若宮町1-3-5,,078-731-7301,078-733-6333,34.643956,135.127759,須磨区,レジャー施設
,1125,須磨離宮公園,654-0018,須磨区東須磨1-1,,078-732-6688,078-734-6022,34.653502,135.11636,須磨区,レジャー施設
delta=0.0072,1126,須磨海づり公園,654-0076,神戸市須磨区一ノ谷町５丁目地先,,078-735-2907,078-735-2950,34.634267,135.10456,須磨区,レジャー施設
,1127,シーパル須磨,654-0055,須磨区須磨浦通1-1-1,,078-731-6815,078-734-1896,34.643526,135.122499,須磨区,レジャー施設
delta=0.0086,1128,須磨浦ロープウェイ須磨浦山上遊園,654-0076,須磨区一ノ谷町5-3- 2,,078-731-2520,078-731-5471,34.641971,135.092825,須磨区,レジャー施設
delta=0.0048,1129,平磯海づり公園,655-0892,垂水区平磯1-1-66,,078-753-3973,,34.627364,135.068806,垂水区,レジャー施設
,1130,五色塚古墳,655-0035,垂水区五色山4-1-12,,078-707-3131,,34.629749,135.045756,垂水区,レジャー施設
,1131,舞子ビラ神戸,655-0047,垂水区東舞子町18-11,,078-706-3711,,34.63131,135.0388,垂水区,レジャー施設
delta=0.0039,1132,アジュール舞子,655-0036,垂水区海岸通11,,078-706-2011,,34.627663,135.041351,垂水区,レジャー施設
,1133,マリンピア神戸水産体験学習館,655-0036,垂水区海岸通12-4,,078-706-5550,,34.624844,135.048189,垂水区,レジャー施設
delta=0.0047,1143,神戸総合運動公園,654-0163,須磨区緑台,,078-795-5151,,34.682143,135.080268,須磨区,レジャー施設
delta=0.0027,1144,神戸ワイナリー（農業公園）,651-2204,西区押部谷町高和1557- 1,,078-991-3911,,34.732478,135.040337,西区,レジャー施設
,1146,神戸市埋蔵文化財センター,651-2273,西区糀台6-1,,078-992-0656,078-992-5201,34.714961,135.017866,西区,レジャー施設
,1147,天然ラジウム温泉太山寺 なでしこの湯,651-2108,西区伊川谷町前開270-1,,078-977-0261,,34.695764,135.063683,西区,レジャー施設
delta=0.0011,1149,しあわせの村,651-1102,北区山田町下谷上字中一里山14-1,,078-743-8000,,34.707572,135.115466,北区,レジャー施設
,1151,フルーツ・フラワーパーク,651-1522,北区大沢町上大沢2150,,078-954-1000,,34.845755,135.191777,北区,レジャー施設
delta=0.0056,1152,北神戸田園スポーツ公園,651-1311,北区有野町二郎753-1,,078-951-5901,,34.846569,135.222674,北区,レジャー施設
geocodeエラー,1153,神戸市立森林植物園,651-1242,北区山田町上谷上長尾1-2,,078-591-0253,078-594-2324,34.740846,135.178104,北区,レジャー施設
delta=0.0034,1154,神戸市立六甲山牧場,657-0101,灘区六甲山町中一里山1-1,,078-891-0280,078-891-0592,34.751581,135.209069,灘区,レジャー施設
delta=0.0060,1157,神戸市立自然の家,657-0101,灘区六甲山町中一里山1-1,,078-891-0001,,34.743752,135.213477,灘区,レジャー施設
,1165,まやビューライン星の駅,657-0105,灘区摩耶山町2-2,,078-861-2998,,34.733715,135.205889,灘区,レジャー施設
delta=0.0152,1166,六甲ケーブル,657-0101,灘区六甲山町一ヶ谷1-32,,078-861-5288,,34.737369,135.233321,灘区,レジャー施設
,1167,六甲有馬ロープウェー,657-0101,灘区六甲山町北六甲4512-336,,078-891-0031,,34.766527,135.247098,灘区,レジャー施設
,961,東灘図書館,658-0052,東灘区住吉東町2-3-40,東灘区役所南側,078-858-8773,078-858-8776,34.719247,135.266241,東灘区,図書館
,962,灘図書館,657-0027,灘区永手町4-2-1,フォレスタ六甲2F,078-854-5560,078-851-4041,34.715756,135.238352,灘区,図書館
,963,中央図書館,650-0017,中央区楠町7-2-1,中央体育館・文化ホール山側/大倉山公園内,078-371-3351,078-371-5046,34.685625,135.174149,中央区,図書館
,965,三宮図書館,651-0096,中央区雲井通5-1-2,勤労会館1F/中央区役所隣,078-251-5015,078-251-5614,34.694896,135.197328,中央区,図書館
,966,兵庫図書館,652-0897,兵庫区駅南通5-1-1,キャナルタウンイースト2階,078-682-9501,078-682-9502,34.66804,135.16553,兵庫区,図書館
,967,北図書館,651-1114,北区鈴蘭台西町1-22-1,北区民センター3・2F/北区役所隣,078-592-7573,078-595-1297,34.727259,135.143959,北区,図書館
,968,北図書館北神分館,651-1302,北区藤原台中町1-2-1,北神中央ビル5F,078-981-8210,078-981-8220,34.821076,135.221682,北区,図書館
,969,新長田図書館,653-0835,長田区細田町7-1-27,市営細田住宅2階,078-691-1600,078-691-2181,34.659802,135.144568,長田区,図書館
,970,須磨図書館,654-0035,須磨区中島町1-2-3,須磨区民センター1F,078-735-7444,078-735-4313,34.650914,135.129328,須磨区,図書館
,971,垂水図書館,655-0893,垂水区日向1-5-1,レバンテ垂水2番館1F,078-709-7712,078-709-7713,34.63028,135.056872,垂水区,図書館
,972,西図書館,651-2273,西区糀台5-6-1,西区民センター1階,078-991-8311,078-992-2583,34.717876,135.018926,西区,図書館
,973,情報ライブラリー,650-0016,中央区橘通3-4-3,あすてっぷKOBE1階,078-361-6977,078-361-6477,34.681848,135.174119,中央区,図書館
,974,北須磨文化センター図書室,654-0154,須磨区中落合3-1-2,北須磨文化センター2階,078-791-0949,,34.683968,135.095303,須磨区,図書館
,975,神戸市外国語大学学術情報センター（図書館）,651-2102,西区学園東町9-1,,078-794-8153,,34.679924,135.060209,西区,図書館
,2998,神戸波止場町TEN×TEN,650-0042,中央区波止場町6-5,,078-351-1335,078-351-1334,34.68408,135.184321,中央区,文化・芸術
,3106,兵庫県立美術館王子分館,657-0837,神戸市灘区原田通3-8-30,,078-801-1591,078-861-4731,34.708576,135.213992,灘区,文化・芸術
,3186,北神区民センター・ありまホール,651-1302,神戸市北区藤原台中町1-3-1,,078-987-3400,078-987-3444,34.822512,135.219435,北区,文化・芸術
,3187,ＫＩＩＴＯ（デザイン・クリエイティブセンター神戸）,651-0082,神戸市中央区小野浜町1-4,,078-325-2201,078-325-2230,34.68522,135.198986,中央区,文化・芸術
