check,施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
,985,東灘体育館,658-0025,東灘区魚崎南町6-5-11,,078-452-9279,,34.714723,135.278137,東灘区,スポーツ
,986,六甲道勤労市民センター,657-0038,灘区深田町4-1-39-401,,078-841-1711,,34.714803,135.239226,灘区,スポーツ
,987,王子スポーツセンター,657-0805,灘区青谷町1-1-1,,078-802-0223,,34.711326,135.21264,灘区,スポーツ
,988,勤労会館,651-0096,中央区雲井通5-1-2,,078-232-1881,,34.694896,135.197328,中央区,スポーツ
,989,生田文化会館,650-0004,中央区中山手通6-1-40,,078-382-0861,,34.691133,135.181268,中央区,スポーツ
,990,中央体育館,650-0017,中央区楠町4-1-1,,078-341-7971,,34.682811,135.174466,中央区,スポーツ
,991,オージースポーツ神戸福祉スポーツセンター,651-0086,中央区磯上通3-1-32,,078-271-5332,,34.69283,135.20178,中央区,スポーツ
,992,健康ライフプラザ,652-0897,兵庫区駅南通5-1-2-300,,078-652-5203,078-652-5211,34.667354,135.164529,兵庫区,スポーツ
,994,北神ふれあいセンター,651-1502,北区道場町塩田1454-2,,078-985-2930,,34.869492,135.23127,北区,スポーツ
,996,新長田勤労市民センター,653-0038,長田区若松町5-5-1,,078-643-2431,,34.656408,135.144344,長田区,スポーツ
delta=0.0039,997,グリーンアリーナ神戸,654-0163,須磨区緑台,神戸総合運動公園内,078-796-1155,,34.678305,135.074519,須磨区,スポーツ
,998,須磨体育館,654-0035,須磨区中島町1-2-2,,078-734-5588,,34.650736,135.128976,須磨区,スポーツ
,999,垂水体育館,655-0033,垂水区旭が丘2-1-22,,078-709-6262,,34.632968,135.051302,垂水区,スポーツ
,1000,垂水勤労市民センター,655-0893,垂水区日向1-5-1,,078-708-8901,,34.63028,135.056872,垂水区,スポーツ
,1001,苔谷公園体育館,655-0046,垂水区舞子台4-1-1,,078-785-2777,,34.636653,135.03612,垂水区,スポーツ
,1002,西体育館,651-2276,西区春日台5-436,,078-961-1381,,34.702898,134.988995,西区,スポーツ
delta=0.0014,1003,魚崎浜公園野球場,658-0024,東灘区魚崎浜町27-41,,078-452-7149,,34.706201,135.281379,東灘区,スポーツ
delta=0.0011,1004,瀬戸公園野球場,658-0025,東灘区魚崎南町1-2-1,,078-436-8029,,34.713155,135.280427,東灘区,スポーツ
,1005,深江野球場,658-0023,東灘区深江浜町59,,078-857-3556,,34.71307,135.300971,東灘区,スポーツ
,1006,住吉浜公園（少年用）野球場,658-0042,東灘区住吉浜町17-1,,078-856-8397,,34.706172,135.262019,東灘区,スポーツ
delta=0.0012,1007,大倉山公園野球場,650-0017,中央区楠町7,,078-341-6648,,34.68605,135.172144,中央区,スポーツ
,1008,遠矢浜公園野球場,652-0866,兵庫区遠矢浜町25-1,,078-671-3867,,34.648816,135.169673,兵庫区,スポーツ
delta=0.0070,1009,あじさいスタジアム北神戸（メイン）野球場,651-1311,北区有野町二郎,,078-951-5901,,34.845109,135.220689,北区,スポーツ
delta=0.0103,1010,あじさいスタジアム北神戸（サブＡ、サブＢ）野球場,651-1351,北区八多町中,,078-951-5901,,34.844471,135.2224,北区,スポーツ
delta=0.0024,1011,ほっともっとフィールド神戸野球場,654-0163,須磨区緑台,神戸総合運動公園内,078-795-4189,,34.680897,135.073525,須磨区,スポーツ
delta=0.0058,1012,神戸総合運動公園サブ球場野球場,654-0163,須磨区緑台,神戸総合運動公園内,078-795-4189,,34.683773,135.070035,須磨区,スポーツ
delta=0.0016,1013,名谷公園野球場,654-0155,須磨区西落合7-6,,078-797-9068,,34.683096,135.089076,須磨区,スポーツ
delta=0.0023,1014,本多聞南公園野球場,655-0006,垂水区本多聞7-3,,078-781-3865,,34.652487,135.044098,垂水区,スポーツ
delta=0.0012,1015,桜が丘中央公園野球場,651-2225,西区桜が丘東町3-1-11,,078-998-4580,,34.748263,135.060158,西区,スポーツ
delta=0.0011,1016,糀台公園野球場,651-2273,西区糀台3-33,,078-996-9132,,34.719716,135.024958,西区,スポーツ
,1017,高塚公園野球場,651-2271,西区高塚台5-2-1,,078-992-1202,,34.72886,135.017992,西区,スポーツ
,1018,住吉公園テニスコート,658-0053,東灘区住吉宮町3-4,,078-846-6356,,34.715803,135.26145,東灘区,スポーツ
delta=0.0016,1019,瀬戸公園テニスコート,658-0025,東灘区魚崎南町1-2-1,,078-436-8029,,34.714079,135.280432,東灘区,スポーツ
,1020,魚崎浜テニスコート,658-0024,東灘区魚崎浜町1-4,,078-452-9191,,34.704279,135.276354,東灘区,スポーツ
delta=0.0026,1021,六甲アイランドテニススクエアテニスコート,658-0032,東灘区向洋町中1,,078-857-3556,,34.693219,135.270815,東灘区,スポーツ
,1022,大和公園テニスコート,657-0032,灘区中郷町5-1,,078-843-7351,,34.715023,135.243287,灘区,スポーツ
