check,施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
,112,兵庫県警察本都,650-8510,中央区下山手通5-4-1,,078-341-7441,,34.690077,135.18379,中央区,警察署
delta=0.0108,113,東灘警察署,658-0054,神戸市東灘区御影中町2-3-2,,078-854-0110,,34.719661,135.266138,東灘区,警察署
,114,灘警察署,657-0831,灘区水道筋1-24-8,,078-802-0110,,34.7142,135.227733,灘区,警察署
,115,葦合警察署,651-0076,中央区吾妻通5-1-2,,078-231-0110,,34.697902,135.204285,中央区,警察署
,116,生田警察署,650-0004,中央区中山手通2-2-25,,078-333-0110,,34.694763,135.189406,中央区,警察署
,117,兵庫警察署,652-0047,兵庫区下沢通3-1-28,,078-577-0110,,34.676333,135.165138,兵庫区,警察署
,118,神戸北警察署,651-1142,北区甲栄台3-6-1,,078-594-0110,,34.740629,135.147922,北区,警察署
,119,有馬警察署,651-1301,北区藤原台北町6-18-1,,078-981-0110,,34.833417,135.224467,北区,警察署
,120,長田警察署,653-0016,長田区北町3-4-9,,078-578-0110,,34.666454,135.150948,長田区,警察署
,121,須磨警察署,654-0026,須磨区大池町5-1-30,,078-731-0110,,34.653293,135.131087,須磨区,警察署
,122,垂水警察署,655-0006,垂水区本多聞3-12-1,,078-781-0110,,34.661082,135.053218,垂水区,警察署
,123,神戸西警察署,651-2273,西区糀台5-12-2,,078-992-0110,,34.716579,135.017238,西区,警察署
delta=0.0010,124,神戸水上警察署,650-0045,神戸市中央区港島3-1,,078-306-0110,,34.676287,135.206372,中央区,警察署
,82,市民防災総合センター,651-1124,北区ひよどり北町3-1,,078-743-3771,078-743-0119,34.707502,135.119916,北区,消防・防災
,83,東灘消防署,658-0052,東灘区住吉東町5-2-1,,078-843-0119（代）,078-854-3119,34.720397,135.265869,東灘区,消防・防災
,84,東灘消防署青木出張所,658-0015,東灘区本山南町2-12-7,,078-412-0119,,34.722953,135.284384,東灘区,消防・防災
,85,東灘消防署六甲アイランド出張所,658-0032,東灘区向洋町中4-2-3,,078-858-0119,,34.683803,135.272916,東灘区,消防・防災
,86,東灘消防署深田池出張所,658-0063,東灘区住吉山手4-11-1,,078-854-0119,,34.726616,135.253978,東灘区,消防・防災
,87,灘消防署,657-0057,灘区神ノ木通3-6-18,,078-882-0119（代）,078-802-7119,34.714352,135.229846,灘区,消防・防災
,88,灘消防署青谷橋出張所,657-0804,灘区城の下通2-3-1,,078-802-0119,,34.715689,135.212867,灘区,消防・防災
,89,中央消防署,651-0088,中央区小野柄通2-1-19,,078-241-0119（代）,078-261-1119,34.695624,135.200963,中央区,消防・防災
,90,中央消防署栄町出張所,650-0023,中央区栄町通7-1-6,,078-351-0119,,34.681376,135.181413,中央区,消防・防災
,91,中央消防署山手出張所,650-0011,中央区下山手通7-1-13,,078-360-0119,,34.687697,135.178543,中央区,消防・防災
,92,兵庫消防署,652-0032,兵庫区荒田町1-21-1,,078-512-0119（代）,,34.680611,135.165258,兵庫区,消防・防災
,93,兵庫消防署運南出張所,652-0871,兵庫区浜山通2-4-1,,078-681-0119,,34.657028,135.171775,兵庫区,消防・防災
,94,北消防署,651-1131,北区北五葉2-1-9,,078-591-0119（代）,,34.7271,135.133338,北区,消防・防災
,95,北消防署北神分署,651-1301,北区藤原台北町7-20-1,,078-981-0119（代）,,34.833497,135.21859,北区,消防・防災
delta=0.0031,96,北消防署有馬出張所,651-1401,北区有馬町字ウツギ谷1307-8,,078-903-0119,,34.799217,135.243159,北区,消防・防災
,97,北消防署山田出張所,651-1243,北区山田町下谷上字池ノ内21-3,,078-581-0119,,34.761087,135.157901,北区,消防・防災
,98,北消防署ひよどり出張所,651-1125,北区ひよどり台南町1-15-120,,078-741-0119,,34.687518,135.124014,北区,消防・防災
,99,長田消防署,653-0016,長田区北町3-4-8,,078-578-0119（代）,078-578-2119,34.666085,135.150412,長田区,消防・防災
,100,長田消防署大橋出張所,653-0037,長田区大橋町2-1-5,,078-643-0119,,34.657002,135.148929,長田区,消防・防災
,101,須磨消防署,654-0035,須磨区中島町1-1-1,,078-735-0119（代）,,34.65038,135.129912,須磨区,消防・防災
,102,須磨消防署板宿出張所,654-0005,須磨区川上町2-1-7,,078-737-0119,,34.664346,135.130322,須磨区,消防・防災
,103,須磨消防署北須磨出張所,654-0155,須磨区西落合1-1-1,,078-791-0119,,34.678788,135.091437,須磨区,消防・防災
,104,垂水消防署,655-0052,垂水区舞多聞東1-10-30,,078-786-0119（代）,078-786-1119,34.663937,135.056129,垂水区,消防・防災
,105,垂水消防署塩屋出張所,655-0873,垂水区青山台5-1-33,,078-753-0119,,34.642953,135.076447,垂水区,消防・防災
,106,垂水消防署高丸出張所,655-0015,垂水区野田通10-5,,078-705-0119,,34.636398,135.058438,垂水区,消防・防災
,107,垂水消防署舞子出張所,655-0046,垂水区舞子台3-14-5,,078-782-0119,,34.639164,135.039323,垂水区,消防・防災
,108,西消防署,651-2276,西区春日台5-1-10,,078-961-0119（代）,078-961-1119,34.702337,134.988987,西区,消防・防災
,109,西消防署押部谷出張所,651-2226,西区桜が丘中町1-848-1122,,078-994-0119,,34.751563,135.05763,西区,消防・防災
delta=0.0101,110,西消防署伊川谷出張所,651-2124,西区伊川谷町潤和字柿田1056,,078-974-0119,,34.66561,134.998147,西区,消防・防災
,111,水上消防署,650-0045,中央区港島3-2-2,,078-302-0119（代）,078-303-3119,34.676385,135.206444,中央区,消防・防災
