施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
2482,あすてっぷＫＯＢＥ（男女共同参画センター）,650-0016,中央区橘通3-4-3,,078-361-6977,078-361-6477,34.681848,135.174119,中央区,人権・男女共同参画
2483,神戸婦人大学,650-0016,中央区橘通3-4-3,「あすてっぷKOBE」（神戸市男女共同参画センター）3階,078-361-7138,078-361-7165,34.681832,135.174126,中央区,人権・男女共同参画
2484,東灘区ボランティアセンター,658-8570,東灘区住吉東町5-2-1,東灘区役所1階15番窓口,078-841-6941,078-841-7999,34.72027,135.265444,東灘区,人権・男女共同参画
2485,灘区ボランティアセンター,657-8570,灘区桜口町4-2-1,灘区役所６階,078-843-7040,078-843-7077,34.712348,135.239685,灘区,人権・男女共同参画
2486,中央区ボランティアセンター,651-8570,中央区雲井通5-1-1,中央区役所5階,078-232-1447,078-232-1244,34.695102,135.197783,中央区,人権・男女共同参画
2487,兵庫区ボランティアセンター,652-8570,兵庫区荒田町1-21-1,兵庫区役所3階,078-579-3304,078-574-5771,34.680611,135.165258,兵庫区,人権・男女共同参画
2488,北区ボランティアセンター,651-1195,北区鈴蘭台西町1-25-1,北区役所2階,078-593-9910,078-593-9822,34.727253,135.144387,北区,人権・男女共同参画
2489,長田区ボランティアセンター,653-8570,長田区北町3-4-3,長田区総合庁舎4階,078-574-2408,078-574-2427,34.665785,135.150796,長田区,人権・男女共同参画
2490,須磨区ボランティアセンター,654-8570,須磨区中島町1-1-1,須磨区役所内,078-731-8922,078-733-2533,34.650361,135.130231,須磨区,人権・男女共同参画
2491,垂水区ボランティアセンター,655-8570,垂水区日向1-5-1,垂水区役所内,078-709-1333,078-709-1332,34.63028,135.056872,垂水区,人権・男女共同参画
2492,西区ボランティアセンター,651-2195,西区玉津町小山180-3,西区総合庁舎4階,078-929-0047,078-924-0084,34.683358,134.981646,西区,人権・男女共同参画
2493,神戸市社会福祉協議会ボランティア情報センター,651-0086,中央区磯上通3-1-32,こうべ市民福祉交流センター内,078-271-5314,078-271-5366,34.69283,135.20178,中央区,人権・男女共同参画
295,垂水勤労市民センター,655-0893,垂水区日向1-5-1,,078-708-8901,,34.63028,135.056872,垂水区,生涯学習
2242,健康ライフプラザ,652-0897,兵庫区駅南通5-1-2-300,,078-652-5202,078-652-5211,34.66736,135.16455,兵庫区,生涯学習
2243,市民活動総合支援拠点,651-0076,中央区吾妻通4-1-6,,078-230-8511,,34.698377,135.20453,中央区,生涯学習
2252,神戸アジア交流プラザ,653-0835,長田区細田町7-1-9,シューズプラザ4階,078-646-7100,078-646-7200,34.659205,135.144596,長田区,生涯学習
2253,コミスタこうべ（生涯学習支援センター）,651-0076,中央区吾妻通4-1-6,,078-251-4731,078-251-4733,34.698377,135.20453,中央区,生涯学習
2254,大学共同利用施設「ＵＮＩＴＹ」,651-2103,西区学園西町1-1-1,ユニバープラザ2階,078-794-4970,078-794-4910,34.680982,135.057415,西区,生涯学習
2255,神戸国際会議場,650-0046,中央区港島中町6-9-1,,078-302-5200,078-302-6485,34.666244,135.213008,中央区,生涯学習
2256,神戸国際展示場,650-0046,中央区港島中町6-11-1,,078-302-1020,078-302-1870,34.663694,135.212627,中央区,生涯学習
2257,神戸ポートアイランドホール（ワールド記念ホール）,650-0046,中央区港島中町6-12-2,,078-302-8781,078-303-4006,34.664022,135.209933,中央区,生涯学習
2258,神戸サンボーホール,651-0083,中央区浜辺通5-1-32,,078-251-3551,,34.688661,135.199355,中央区,生涯学習
2259,ポートアイランド市民広場,650-0046,中央区港島中町6-9-2,,078-303-0451,,34.666244,135.213008,中央区,生涯学習
2260,サンパル市民ギャラリー,651-0096,中央区雲井通5-3-1,サンパル管理事務所,078-231-1199,,34.695549,135.197266,中央区,生涯学習
2261,こうべまちづくり会館ギャラリー＆ホール＆会議室,650-0022,中央区元町通4-2-14,,078-361-4523,078-361-4546,34.686117,135.182879,中央区,生涯学習
2262,文書館,651-0056,中央区熊内町1-8-21,,078-232-3437,078-232-3840,34.708106,135.202316,中央区,生涯学習
2263,東灘区民センター・うはらホール,658-0052,東灘区住吉東町5-1-16,,078-822-8333,078-822-8181,34.719312,135.263182,東灘区,生涯学習
2264,東灘区民センター小ホール,658-0083,東灘区魚崎中町4-3-16,,078-453-0151,078-451-5840,34.713959,135.271377,東灘区,生涯学習
2265,六甲道勤労市民センター,657-0038,灘区深田町4-1-39,,078-841-1711,078-802-9811,34.714803,135.239226,灘区,生涯学習
2266,灘区民ホール,657-0832,灘区岸地通1-1-1,,078-502-8555,,34.713581,135.228147,灘区,生涯学習
2268,葺合文化センター,651-0068,中央区旗塚通4-4-1,,078-241-0414,078-261-0366,34.70439,135.201924,中央区,生涯学習
2269,勤労会館,651-0096,中央区雲井通5-1-2,,078-232-1881,078-232-1876,34.694896,135.197328,中央区,生涯学習
2270,青少年会館,651-0096,中央区雲井通5-1-2,,078-232-4455,,34.694896,135.197328,中央区,生涯学習
2271,生田文化会館,650-0004,中央区中山手通6-1-40,,078-282-0861,078-361-4115,34.691133,135.181268,中央区,生涯学習
2272,神戸文化ホール,650-0017,中央区楠町4-2-2,,078-351-3535,078-351-3121,34.683825,135.172891,中央区,生涯学習
2273,フィッシュダンス音楽練習場,650-0042,中央区波止場町2-3,,078-327-8984,,34.684264,135.189609,中央区,生涯学習
2274,神戸アートビレッジセンター,652-0811,兵庫区新開地5-3-14,,078-512-5500,078-512-5356,34.676209,135.173716,兵庫区,生涯学習
2275,北区民センター,651-1114,北区鈴蘭台西町1-22-1,,078-593-1150,078-593-0014,34.727259,135.143959,北区,生涯学習
2276,北区民センター（すずらんホール）,651-1114,北区鈴蘭台西町1-26-1,,078-594-2711,078-594-2711,34.726575,135.145034,北区,生涯学習
2277,兵庫勤労市民センター,652-0805,兵庫区羽坂通4-1-1,,078-576-0981,,34.669182,135.165116,兵庫区,生涯学習
2278,神戸セミナーハウス,651-1503,北区道場町生野字ロクゴ318-2,,078-985-4391,,34.851444,135.243747,北区,生涯学習
2279,新長田勤労市民センター,653-0038,長田区若松町5-5-1,,078-643-2431,,34.656408,135.144344,長田区,生涯学習
2280,新長田勤労市民センター（別館）ピフレホール,653-0038,長田区若松町4-2-15,,078-621-1120,,34.656808,135.145713,長田区,生涯学習
2281,丸山コミュニティ・センター,653-0874,長田区西丸山町1-7-5,,078-642-3447,,34.686016,135.141071,長田区,生涯学習
2282,須磨区民センター,654-0035,須磨区中島町1-2-3,,078-735-7641,078-735-7644,34.650914,135.129328,須磨区,生涯学習
2283,北須磨文化センター,654-0154,須磨区中落合3-1-2,,078-791-0840,,34.683968,135.095303,須磨区,生涯学習
2284,リバティホール,651-2103,西区学園西町1-4,,078-793-6600,,34.682854,135.057426,西区,生涯学習
2285,セリオホール,651-2242,西区井吹台東町1-1,,078-992-8888,078-992-8856,34.700168,135.030748,西区,生涯学習
2286,プレンティホール,651-2273,西区糀台5-2-3,,078-992-0500,078-992-0550,34.719351,135.019506,西区,生涯学習
2287,御影公会堂,658-0045,東灘区御影石町4-4-1,,078-841-2281,078-841-2282,34.716075,135.249276,東灘区,生涯学習
2288,住之江公民館,658-0053,東灘区住吉宮町2-2-3,,078-822-1300,,34.713992,135.26365,東灘区,生涯学習
2289,葺合公民館,651-0081,中央区真砂通2-1-1,,078-232-4026,,34.694983,135.204532,中央区,生涯学習
2290,清風公民館,650-0017,中央区楠町8-10-3,,078-371-3319,,34.686491,135.174374,中央区,生涯学習
2291,長田公民館,653-0004,長田区四番町4-51,,078-575-1374,,34.66977,135.154509,長田区,生涯学習
2292,南須磨公民館,654-0038,須磨区青葉町2-2-3,,078-735-2770,,34.648808,135.133306,須磨区,生涯学習
2293,東垂水公民館,655-0886,垂水区東垂水1-1-1,,078-753-5025,,34.636887,135.068515,垂水区,生涯学習
2294,玉津南公民館,651-2126,西区玉津町上池314,,078-914-4300,,34.660247,134.990815,西区,生涯学習
3154,神戸市立地域人材支援センター,653-0042,神戸市長田区二葉町7-1-18,,078-646-8128,078-646-8138,34.651772,135.146263,長田区,生涯学習
2494,ユースプラザKOBE・EAST,658-0054,東灘区御影中町3-2-1,御影クラッセ4階,078-891-8222,078-891-8223,34.715631,135.255142,東灘区,青少年育成
2495,ユースプラザKOBE・WEST,654-0154,須磨区中落合2-2-7,須磨パティオ健康館3階,078-794-6868,078-794-6868,34.678363,135.094556,須磨区,青少年育成
2496,ユースステーション垂水,655-0893,垂水区日向1-5-1,レバンテ垂水2番館3階・垂水勤労市民センター内,078-709-7017,078-709-7017,34.63028,135.056872,垂水区,青少年育成
2497,ユースステーション西,651-2273,西区糀台5-6-1,西区民センター内,078-997-0868,078-997-0868,34.718461,135.018906,西区,青少年育成
2498,パティオホール,654-0154,須磨区中落合2-2-7,須磨パティオ健康館3F,078-794-6868,078-794-6868,34.678363,135.094556,須磨区,青少年育成
2499,垂水年金会館,655-0892,垂水区平磯1-2-5,,078-752-4181,,34.628091,135.058991,垂水区,青少年育成
