0

HTTP/1.1 200 OK
Server: nginx
Date: Thu, 08 Jun 2017 08:42:46 GMT
Content-Type: application/octet-stream
Transfer-Encoding: chunked
Connection: keep-alive
Pragma: no-cache
Cache-Control: no-cache
Accept-Ranges: bytes
Last-Modified: Thu, 01 Jun 2017 05:15:53 GMT
Content-Range: bytes 0-1065009/1065010
ETag: "1496294153.22-1065010"

1f0f
﻿第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
gr_0040,2016年,04月,1,2016/04/28,/gr_0040,19,16,201604
gr_0050,2016年,04月,1,2016/04/28,/gr_0050,14,11,201604
gr_0060,2016年,04月,1,2016/04/28,/gr_0060,10,9,201604
gr_0070,2016年,04月,1,2016/04/28,/gr_0070,8,8,201604
gr_0080,2016年,04月,1,2016/04/28,/gr_0080,13,8,201604
gr_9900,2016年,04月,1,2016/04/28,/gr_9900,1,1,201604
groups,2016年,04月,1,2016/04/28,/groups/,1,1,201604
iryo,2016年,04月,1,2016/04/28,/iryo/,2,1,201604
kanko,2016年,04月,1,2016/04/28,/kanko/,6,5,201604
kotsu,2016年,04月,1,2016/04/28,/kotsu/,2,1,201604
kurashi,2016年,04月,1,2016/04/28,/kurashi/,1,1,201604
org_0040,2016年,04月,1,2016/04/28,/org_0040,1,1,201604
org_0110,2016年,04月,1,2016/04/28,/org_0110,1,1,201604
org_0240,2016年,04月,1,2016/04/28,/org_0240,1,1,201604
shisei,2016年,04月,1,2016/04/28,/shisei/,2,2,201604
sonota,2016年,04月,1,2016/04/28,/sonota/,1,1,201604
about,2016年,04月,1,2016/04/29,/about/,1,1,201604
activity,2016年,04月,1,2016/04/29,/activity/,2,2,201604
dataset-00000007,2016年,04月,1,2016/04/29,/dataset-00000007,1,1,201604
dataset-00000007,2016年,04月,1,2016/04/29,/dataset-00000007/,2,2,201604
dataset-00000009,2016年,04月,1,2016/04/29,/dataset-00000009,1,1,201604
dataset-00000010,2016年,04月,1,2016/04/29,/dataset-00000010,2,2,201604
dataset-00000010,2016年,04月,1,2016/04/29,/dataset-00000010/,2,2,201604
dataset-00000015,2016年,04月,1,2016/04/29,/dataset-00000015,1,1,201604
dataset-00000015,2016年,04月,1,2016/04/29,/dataset-00000015/,2,2,201604
dataset-00000019,2016年,04月,1,2016/04/29,/dataset-00000019,3,2,201604
dataset-00000019,2016年,04月,1,2016/04/29,/dataset-00000019/,2,2,201604
dataset-00000041,2016年,04月,1,2016/04/29,/dataset-00000041,1,1,201604
dataset-00000050,2016年,04月,1,2016/04/29,/dataset-00000050,2,1,201604
dataset-00000050,2016年,04月,1,2016/04/29,/dataset-00000050/,4,3,201604
dataset-00000051,2016年,04月,1,2016/04/29,/dataset-00000051,1,1,201604
dataset-00000054,2016年,04月,1,2016/04/29,/dataset-00000054,9,7,201604
dataset-00000054,2016年,04月,1,2016/04/29,/dataset-00000054/,6,6,201604
gr_0010,2016年,04月,1,2016/04/29,/gr_0010,6,5,201604
gr_0020,2016年,04月,1,2016/04/29,/gr_0020,5,3,201604
gr_0020?page=2,2016年,04月,1,2016/04/29,/gr_0020?page=2,1,1,201604
gr_0030,2016年,04月,1,2016/04/29,/gr_0030,1,1,201604
gr_0040,2016年,04月,1,2016/04/29,/gr_0040,2,2,201604
gr_0050,2016年,04月,1,2016/04/29,/gr_0050,5,3,201604
gr_0060,2016年,04月,1,2016/04/29,/gr_0060,5,3,201604
gr_0070,2016年,04月,1,2016/04/29,/gr_0070,1,1,201604
gr_0080,2016年,04月,1,2016/04/29,/gr_0080,1,1,201604
iryo,2016年,04月,1,2016/04/29,/iryo/,2,1,201604
kotsu,2016年,04月,1,2016/04/29,/kotsu/,1,1,201604
org_0040,2016年,04月,1,2016/04/29,/org_0040,2,1,201604
org_0120,2016年,04月,1,2016/04/29,/org_0120,2,1,201604
org_0121,2016年,04月,1,2016/04/29,/org_0121,1,1,201604
org_0130,2016年,04月,1,2016/04/29,/org_0130,2,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010&tags=施設,2016年,04月,1,2016/04/30,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010&tags=施設,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?tags=イベント,2016年,04月,1,2016/04/30,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?tags=イベント,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?tags=施設,2016年,04月,1,2016/04/30,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?tags=施設,2,2,201604
dataset-00000002,2016年,04月,1,2016/04/30,/dataset-00000002,1,1,201604
dataset-00000005,2016年,04月,1,2016/04/30,/dataset-00000005,1,1,201604
dataset-00000009,2016年,04月,1,2016/04/30,/dataset-00000009,1,1,201604
dataset-00000010,2016年,04月,1,2016/04/30,/dataset-00000010,1,1,201604
dataset-000000
2000
10,2016年,04月,1,2016/04/30,/dataset-00000010/,2,2,201604
dataset-00000011,2016年,04月,1,2016/04/30,/dataset-00000011,2,1,201604
dataset-00000011,2016年,04月,1,2016/04/30,/dataset-00000011/,2,2,201604
dataset-00000012,2016年,04月,1,2016/04/30,/dataset-00000012,1,1,201604
dataset-00000012,2016年,04月,1,2016/04/30,/dataset-00000012/,2,2,201604
dataset-00000019,2016年,04月,1,2016/04/30,/dataset-00000019,3,2,201604
dataset-00000019,2016年,04月,1,2016/04/30,/dataset-00000019/,2,2,201604
dataset-00000045,2016年,04月,1,2016/04/30,/dataset-00000045,1,1,201604
dataset-00000051,2016年,04月,1,2016/04/30,/dataset-00000051,2,2,201604
dataset-00000054,2016年,04月,1,2016/04/30,/dataset-00000054,3,3,201604
dataset-00000054,2016年,04月,1,2016/04/30,/dataset-00000054/,8,6,201604
ea98c354-262b-4cff-a061-477b74f43bcc?groups=gr_0040&tags=情報啓発,2016年,04月,1,2016/04/30,/ea98c354-262b-4cff-a061-477b74f43bcc?groups=gr_0040&tags=情報啓発,2,1,201604
ea98c354-262b-4cff-a061-477b74f43bcc?tags=情報啓発,2016年,04月,1,2016/04/30,/ea98c354-262b-4cff-a061-477b74f43bcc?tags=情報啓発,1,1,201604
gr_0010,2016年,04月,1,2016/04/30,/gr_0010,9,7,201604
gr_0020,2016年,04月,1,2016/04/30,/gr_0020,7,5,201604
gr_0030,2016年,04月,1,2016/04/30,/gr_0030,3,3,201604
gr_0040,2016年,04月,1,2016/04/30,/gr_0040,5,4,201604
gr_0050,2016年,04月,1,2016/04/30,/gr_0050,3,3,201604
gr_0060,2016年,04月,1,2016/04/30,/gr_0060,3,2,201604
gr_0070,2016年,04月,1,2016/04/30,/gr_0070,4,4,201604
gr_0080,2016年,04月,1,2016/04/30,/gr_0080,2,2,201604
gr_9900,2016年,04月,1,2016/04/30,/gr_9900,2,1,201604
dataset-00000002,2016年,05月,1,2016/05/01,/dataset-00000002,3,1,201605
dataset-00000002,2016年,05月,1,2016/05/01,/dataset-00000002/,4,4,201605
dataset-00000003,2016年,05月,1,2016/05/01,/dataset-00000003,1,1,201605
dataset-00000005,2016年,05月,1,2016/05/01,/dataset-00000005,2,2,201605
dataset-00000005,2016年,05月,1,2016/05/01,/dataset-00000005/,6,2,201605
dataset-00000006,2016年,05月,1,2016/05/01,/dataset-00000006,3,1,201605
dataset-00000006,2016年,05月,1,2016/05/01,/dataset-00000006/,4,4,201605
dataset-00000007,2016年,05月,1,2016/05/01,/dataset-00000007,1,1,201605
dataset-00000007,2016年,05月,1,2016/05/01,/dataset-00000007/,8,2,201605
dataset-00000010,2016年,05月,1,2016/05/01,/dataset-00000010,2,2,201605
dataset-00000010,2016年,05月,1,2016/05/01,/dataset-00000010/,2,2,201605
dataset-00000012,2016年,05月,1,2016/05/01,/dataset-00000012,2,1,201605
dataset-00000012,2016年,05月,1,2016/05/01,/dataset-00000012/,4,4,201605
dataset-00000041,2016年,05月,1,2016/05/01,/dataset-00000041,1,1,201605
dataset-00000041,2016年,05月,1,2016/05/01,/dataset-00000041/,1,1,201605
dataset-00000053,2016年,05月,1,2016/05/01,/dataset-00000053/,2,2,201605
dataset-00000054,2016年,05月,1,2016/05/01,/dataset-00000054,3,2,201605
dataset-00000054,2016年,05月,1,2016/05/01,/dataset-00000054/,6,6,201605
gr_0010,2016年,05月,1,2016/05/01,/gr_0010,10,5,201605
gr_0020,2016年,05月,1,2016/05/01,/gr_0020,6,3,201605
gr_0020?page=2,2016年,05月,1,2016/05/01,/gr_0020?page=2,2,2,201605
gr_0030,2016年,05月,1,2016/05/01,/gr_0030,3,3,201605
gr_0040,2016年,05月,1,2016/05/01,/gr_0040,3,3,201605
gr_0050,2016年,05月,1,2016/05/01,/gr_0050,5,3,201605
gr_0060,2016年,05月,1,2016/05/01,/gr_0060,3,3,201605
gr_0070,2016年,05月,1,2016/05/01,/gr_0070,2,2,201605
gr_0080,2016年,05月,1,2016/05/01,/gr_0080,3,1,201605
5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0150,2016年,05月,1,2016/05/02,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0150,3,1,201605
about,2016年,05月,1,2016/05/02,/about/,3,1,201605
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,2016年,05月,1,2016/05/02,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,1,1,201605
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,2016年,05月,1,2016/05/02,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,2,1,201605
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,2016年,05月,1,2016/05/02,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,2,1,201605
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2016年,05月,1,2016/05/02,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,1,1,201605
dataset-00000001,2016年,05月,1,2016/05/02,/dataset-00000001,1,1,201605
dataset-00000002,2016年,05月,1,2016/05/02,/dataset-00000002,1,1,201605
dataset-00000003,2016年,05月,1,2016/05/02,/dataset-00000003,1,1,201605
dataset-00000004,2016年,05月,1,2016/05/02,/dataset-00000004,10,4,201605
dataset-00000004,2016年,05月,1,2016/05/02,/dataset-00000004/,14,4,201605
dataset-00000006,2016年,05月,1,2016/05/02,/dataset-00000006,2,2,201605
dataset-00000006,2016年,05月,1,2016/05/02,/dataset-00000006/,6,4,201605
dataset-00000007,2016年,05月,1,2016/05/02,/dataset-00000007,10,4,201605
dataset-00000007,2016年,05月,1,2016/05/02,/dataset-00000007/,16,10,201605
dataset-00000008,2016年,05月,1,2016/05/02,/dataset-00000008,2,1,201605
dataset-00000008,2016年,05月,1,2016/05/02,/dataset-00000008/,2,2,201605
dataset-00000009,2016年,05月,1,2016/05/02,/dataset-00000009,5,4,201605
dataset-00000009,2016年,05月,1,2016/05/02,/dataset-00000009/,4,4,201605
dataset-00000010,2016年,05月,1,2016/05/02,/dataset-00000010,2,2,201605
dataset-00000011,2016年,05月,1,2016/05/02,/dataset-00000011,7,4,201605
dataset-00000011,2016年,05月,1,2016/05/02,/dataset-00000011/,10,9,201605
dataset-00000012,2016年,05月,1,2016/05/02,/dataset-00000012,4,2,201605
dataset-00000012,2016年,05月,1,2016/05/02,/dataset-00000012/,10,6,201605
dataset-00000019,2016年,05月,1,2016/05/02,/dataset-00000019,8,6,201605
dataset-00000019,2016年,05月,1,2016/05/02,/dataset-00000019/,8,8,201605
dataset-00000044,2016年,05月,1,2016/05/02,/dataset-00000044,1,1,201605
dataset-00000051,2016年,05月,1,2016/05/02,/dataset-00000051,4,4,201605
dataset-00000052,2016年,05月,1,2016/05/02,/dataset-00000052,3,3,201605
dataset-00000052,2016年,05月,1,2016/05/02,/dataset-00000052/,1,1,201605
dataset-00000053,2016年,05月,1,2016/05/02,/dataset-00000053/,5,3,201605
dataset-00000054,2016年,05月,1,2016/05/02,/dataset-00000054,6,4,201605
dataset-00000054,2016年,05月,1,2016/05/02,/dataset-00000054/,6,6,201605
gr_0010,2016年,05月,1,2016/05/02,/gr_0010,25,15,201605
gr_0020,2016年,05月,1,2016/05/02,/gr_0020,16,15,201605
gr_0020?page=2,2016年,05月,1,2016/05/02,/gr_0020?page=2,2,2,201605
gr_0030,2016年,05月,1,2016/05/02,/gr_0030,7,6,201605
gr_0040,2016年,05月,1,2016/05/02,/gr_0040,17,11,201605
gr_0050,2016年,05月,1,2016/05/02,/gr_0050,11,9,201605
gr_0060,2016年,05月,1,2016/05/02,/gr_0060,9,7,201605
gr_0070,2016年,05月,1,2016/05/02,/gr_0070,5,5,201605
gr_0080,2016年,05月,1,2016/05/02,/gr_0080,10,6,201605
iryo,2016年,05月,1,2016/05/02,/iryo/,2,1,201605
jigyosha,2016年,05月,1,2016/05/02,/jigyosha/,2,1,201605
kanko,2016年,05月,1,2016/05/02,/kanko/,1,1,201605
kotsu,2016年,05月,1,2016/05/02,/kotsu/,2,1,201605
kurashi,2016年,05月,1,2016/05/02,/kurashi/,2,1,201605
shisei,2016年,05月,1,2016/05/02,/shisei/,2,1,201605
activity,2016年,05月,1,2016/05/03,/activity/,1,1,201605
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,2016年,05月,1,2016/05/03,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,1,1,201605
dataset-00000001,2016年,05月,1,2016/05/03,/dataset-00000001,1,1,201605
dataset-00000001,2016年,05月,1,2016/05/03,/dataset-00000001/,2,2,201605
dataset-00000003,2016年,05月,1,2016/05/03,/dataset-00000003,1,1,201605
dataset-00000009,2016年,05月,1,2016/05/03,/dataset-00000009,2,1,201605
dataset-00000009,2016年,05月,1,2016/05/03,/dataset-00000009/,6,2,201605
dataset-00000010,2016年,05月,1,2016/05/03,/dataset-00000010,2,2,201605
dataset-00000011,2016年,05月,1,2016/05/03,/dataset-00000011,2,1,201605
dataset-00000011,2016年,05月,1,2016/05/03,/dataset-00000011/,5,3,201605
dataset-00000019,2016年,05月,1,2016/05/03,/dataset-00000019,2,1,201605
dataset-00000019,2016年,05月,1,2016/05/03,/dataset-00000019/,6,4,201605
dataset-00000036,2016年,05月,1,2016/05/03,/dataset-00000036,2,1,2
1000
01605
dataset-00000036,2016年,05月,1,2016/05/03,/dataset-00000036/,2,2,201605
dataset-00000048,2016年,05月,1,2016/05/03,/dataset-00000048,2,2,201605
dataset-00000048,2016年,05月,1,2016/05/03,/dataset-00000048/,2,2,201605
dataset-00000051,2016年,05月,1,2016/05/03,/dataset-00000051,4,3,201605
dataset-00000053,2016年,05月,1,2016/05/03,/dataset-00000053,2,1,201605
dataset-00000053,2016年,05月,1,2016/05/03,/dataset-00000053/,2,2,201605
dataset-00000054,2016年,05月,1,2016/05/03,/dataset-00000054/,5,4,201605
gr_0010,2016年,05月,1,2016/05/03,/gr_0010,5,4,201605
gr_0020,2016年,05月,1,2016/05/03,/gr_0020,4,3,201605
gr_0020?page=2,2016年,05月,1,2016/05/03,/gr_0020?page=2,1,1,201605
gr_0030,2016年,05月,1,2016/05/03,/gr_0030,1,1,201605
gr_0040,2016年,05月,1,2016/05/03,/gr_0040,6,4,201605
gr_0050,2016年,05月,1,2016/05/03,/gr_0050,1,1,201605
gr_0060,2016年,05月,1,2016/05/03,/gr_0060,5,3,201605
gr_0070,2016年,05月,1,2016/05/03,/gr_0070,2,2,201605
gr_0080,2016年,05月,1,2016/05/03,/gr_0080,2,1,201605
dataset-00000007,2016年,05月,1,2016/05/04,/dataset-00000007/,2,2,201605
dataset-00000008,2016年,05月,1,2016/05/04,/dataset-00000008/,2,2,201605
dataset-00000009,2016年,05月,1,2016/05/04,/dataset-00000009,2,1,201605
dataset-00000009,2016年,05月,1,2016/05/04,/dataset-00000009/,4,2,201605
dataset-00000011,2016年,05月,1,2016/05/04,/dataset-00000011,2,1,201605
dataset-00000011,2016年,05月,1,2016/05/04,/dataset-00000011/,2,2,201605
dataset-00000019,2016年,05月,1,2016/05/04,/dataset-00000019,4,2,201605
dataset-00000019,2016年,05月,1,2016/05/04,/dataset-00000019/,4,4,201605
dataset-00000051,2016年,05月,1,2016/05/04,/dataset-00000051,1,1,201605
dataset-00000051,2016年,05月,1,2016/05/04,/dataset-00000051/,1,1,201605
dataset-00000054,2016年,05月,1,2016/05/04,/dataset-00000054,1,1,201605
dataset-00000054,2016年,05月,1,2016/05/04,/dataset-00000054/,2,2,201605
gr_0010,2016年,05月,1,2016/05/04,/gr_0010,4,2,201605
gr_0020,2016年,05月,1,2016/05/04,/gr_0020,1,1,201605
gr_0040,2016年,05月,1,2016/05/04,/gr_0040,2,1,201605
activity,2016年,05月,1,2016/05/05,/activity/,1,1,201605
dataset-00000008,2016年,05月,1,2016/05/05,/dataset-00000008,1,1,201605
dataset-00000019,2016年,05月,1,2016/05/05,/dataset-00000019,2,1,201605
dataset-00000019,2016年,05月,1,2016/05/05,/dataset-00000019/,2,2,201605
dataset-00000054,2016年,05月,1,2016/05/05,/dataset-00000054,1,1,201605
dataset-00000054,2016年,05月,1,2016/05/05,/dataset-00000054/,2,2,201605
gr_0010,2016年,05月,1,2016/05/05,/gr_0010,7,6,201605
gr_0020,2016年,05月,1,2016/05/05,/gr_0020,2,2,201605
gr_0030,2016年,05月,1,2016/05/05,/gr_0030,3,3,201605
gr_0040,2016年,05月,1,2016/05/05,/gr_0040,3,3,201605
gr_0050,2016年,05月,1,2016/05/05,/gr_0050,2,2,201605
gr_0060,2016年,05月,1,2016/05/05,/gr_0060,2,2,201605
gr_0070,2016年,05月,1,2016/05/05,/gr_0070,2,2,201605
gr_0080,2016年,05月,1,2016/05/05,/gr_0080,1,1,201605
?sort=released,2016年,05月,1,2016/05/06,/?sort=released,1,1,201605
0f6fa0bc-0b25-4796-8197-8f0735f1cd14,2016年,05月,1,2016/05/06,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14,2,1,201605
0f6fa0bc-0b25-4796-8197-8f0735f1cd14?groups=gr_0060,2016年,05月,1,2016/05/06,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14?groups=gr_0060,2,2,201605
0f6fa0bc-0b25-4796-8197-8f0735f1cd14?organization=org_0070,2016年,05月,1,2016/05/06,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14?organization=org_0070,3,1,201605
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2016年,05月,1,2016/05/06,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2,1,201605
about,2016年,05月,1,2016/05/06,/about/,2,1,201605
activity,2016年,05月,1,2016/05/06,/activity/,4,4,201605
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,05月,1,2016/05/06,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2,1,201605
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&res_format=XLS,2016年,05月,1,2016/05/06,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&res_format=XLS,1,1,201605
c2ed7
2000
03e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2016年,05月,1,2016/05/06,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,1,1,201605
dataset-00000001,2016年,05月,1,2016/05/06,/dataset-00000001,2,2,201605
dataset-00000002,2016年,05月,1,2016/05/06,/dataset-00000002,3,2,201605
dataset-00000002,2016年,05月,1,2016/05/06,/dataset-00000002/,4,4,201605
dataset-00000004,2016年,05月,1,2016/05/06,/dataset-00000004,3,2,201605
dataset-00000004,2016年,05月,1,2016/05/06,/dataset-00000004/,6,4,201605
dataset-00000005,2016年,05月,1,2016/05/06,/dataset-00000005,2,2,201605
dataset-00000006,2016年,05月,1,2016/05/06,/dataset-00000006,2,1,201605
dataset-00000006,2016年,05月,1,2016/05/06,/dataset-00000006/,2,2,201605
dataset-00000007,2016年,05月,1,2016/05/06,/dataset-00000007,6,4,201605
dataset-00000007,2016年,05月,1,2016/05/06,/dataset-00000007/,12,12,201605
dataset-00000008,2016年,05月,1,2016/05/06,/dataset-00000008,2,2,201605
dataset-00000009,2016年,05月,1,2016/05/06,/dataset-00000009,2,2,201605
dataset-00000010,2016年,05月,1,2016/05/06,/dataset-00000010,10,6,201605
dataset-00000010,2016年,05月,1,2016/05/06,/dataset-00000010/,12,8,201605
dataset-00000011,2016年,05月,1,2016/05/06,/dataset-00000011,8,7,201605
dataset-00000011,2016年,05月,1,2016/05/06,/dataset-00000011/,12,10,201605
dataset-00000012,2016年,05月,1,2016/05/06,/dataset-00000012,16,9,201605
dataset-00000012,2016年,05月,1,2016/05/06,/dataset-00000012/,24,14,201605
dataset-00000013,2016年,05月,1,2016/05/06,/dataset-00000013,1,1,201605
dataset-00000019,2016年,05月,1,2016/05/06,/dataset-00000019,12,6,201605
dataset-00000019?__no_cache__=True,2016年,05月,1,2016/05/06,/dataset-00000019?__no_cache__=True,1,1,201605
dataset-00000019,2016年,05月,1,2016/05/06,/dataset-00000019/,7,7,201605
dataset-00000048,2016年,05月,1,2016/05/06,/dataset-00000048,1,1,201605
dataset-00000048,2016年,05月,1,2016/05/06,/dataset-00000048/,3,3,201605
dataset-00000051,2016年,05月,1,2016/05/06,/dataset-00000051,6,4,201605
dataset-00000051,2016年,05月,1,2016/05/06,/dataset-00000051/,2,1,201605
dataset-00000053,2016年,05月,1,2016/05/06,/dataset-00000053,2,2,201605
dataset-00000053,2016年,05月,1,2016/05/06,/dataset-00000053/,3,3,201605
dataset-00000054,2016年,05月,1,2016/05/06,/dataset-00000054,7,3,201605
dataset-00000054,2016年,05月,1,2016/05/06,/dataset-00000054/,11,10,201605
edit,2016年,05月,1,2016/05/06,/edit/,2,1,201605
gr_0010,2016年,05月,1,2016/05/06,/gr_0010,29,19,201605
gr_0020,2016年,05月,1,2016/05/06,/gr_0020,23,21,201605
gr_0020?page=2,2016年,05月,1,2016/05/06,/gr_0020?page=2,2,2,201605
gr_0030,2016年,05月,1,2016/05/06,/gr_0030,18,18,201605
gr_0040,2016年,05月,1,2016/05/06,/gr_0040,22,16,201605
gr_0050,2016年,05月,1,2016/05/06,/gr_0050,28,19,201605
gr_0060,2016年,05月,1,2016/05/06,/gr_0060,17,12,201605
gr_0070,2016年,05月,1,2016/05/06,/gr_0070,15,14,201605
gr_0080,2016年,05月,1,2016/05/06,/gr_0080,17,15,201605
login,2016年,05月,1,2016/05/06,/login,1,1,201605
org_0040,2016年,05月,1,2016/05/06,/org_0040,1,1,201605
org_0110,2016年,05月,1,2016/05/06,/org_0110,1,1,201605
org_0120,2016年,05月,1,2016/05/06,/org_0120,1,1,201605
resources,2016年,05月,1,2016/05/06,/resources/,1,1,201605
dataset-00000002,2016年,05月,1,2016/05/07,/dataset-00000002,1,1,201605
dataset-00000002,2016年,05月,1,2016/05/07,/dataset-00000002/,6,2,201605
dataset-00000004,2016年,05月,1,2016/05/07,/dataset-00000004,1,1,201605
dataset-00000007,2016年,05月,1,2016/05/07,/dataset-00000007,2,1,201605
dataset-00000007,2016年,05月,1,2016/05/07,/dataset-00000007/,4,4,201605
dataset-00000009,2016年,05月,1,2016/05/07,/dataset-00000009,1,1,201605
dataset-00000010,2016年,05月,1,2016/05/07,/dataset-00000010,3,2,201605
dataset-00000010,2016年,05月,1,2016/05/07,/dataset-00000010/,2,2,201605
dataset-00000011,2016年,05月,1,2016/05/07,/dataset-00000011,3,2,201605
dataset-00000011,2016年,05月,1,2016/05/07,/dataset-00000011/,2,2,201605
dataset-00000013,2016年,05月,1,2016/05/07,/dataset-00000013,1,1,201605
dataset-00000016,2016年,05月,1,2016/05/07,/dataset-00000016,2,1,201605
dataset-00000016,2016年,05月,1,2016/05/07,/dataset-00000016/,2,2,201605
dataset-00000048,2016年,05月,1,2016/05/07,/dataset-00000048,1,1,201605
dataset-00000053,2016年,05月,1,2016/05/07,/dataset-00000053,2,1,201605
dataset-00000053,2016年,05月,1,2016/05/07,/dataset-00000053/,8,5,201605
dataset-00000054,2016年,05月,1,2016/05/07,/dataset-00000054,2,1,201605
dataset-00000054,2016年,05月,1,2016/05/07,/dataset-00000054/,2,2,201605
gr_0010,2016年,05月,1,2016/05/07,/gr_0010,3,3,201605
gr_0020,2016年,05月,1,2016/05/07,/gr_0020,3,3,201605
gr_0020?page=2,2016年,05月,1,2016/05/07,/gr_0020?page=2,1,1,201605
gr_0030,2016年,05月,1,2016/05/07,/gr_0030,1,1,201605
gr_0040,2016年,05月,1,2016/05/07,/gr_0040,4,3,201605
gr_0070,2016年,05月,1,2016/05/07,/gr_0070,2,2,201605
about,2016年,05月,1,2016/05/08,/about/,1,1,201605
activity,2016年,05月,1,2016/05/08,/activity/,2,1,201605
dataset-00000003,2016年,05月,1,2016/05/08,/dataset-00000003,2,1,201605
dataset-00000005,2016年,05月,1,2016/05/08,/dataset-00000005,1,1,201605
dataset-00000010,2016年,05月,1,2016/05/08,/dataset-00000010,7,3,201605
dataset-00000010,2016年,05月,1,2016/05/08,/dataset-00000010/,4,4,201605
dataset-00000012,2016年,05月,1,2016/05/08,/dataset-00000012,1,1,201605
dataset-00000015,2016年,05月,1,2016/05/08,/dataset-00000015,1,1,201605
dataset-00000019,2016年,05月,1,2016/05/08,/dataset-00000019,7,4,201605
dataset-00000019,2016年,05月,1,2016/05/08,/dataset-00000019/,8,6,201605
dataset-00000029,2016年,05月,1,2016/05/08,/dataset-00000029,1,1,201605
dataset-00000035,2016年,05月,1,2016/05/08,/dataset-00000035,1,1,201605
dataset-00000045,2016年,05月,1,2016/05/08,/dataset-00000045,1,1,201605
dataset-00000053,2016年,05月,1,2016/05/08,/dataset-00000053,2,1,201605
dataset-00000053,2016年,05月,1,2016/05/08,/dataset-00000053/,3,3,201605
dataset-00000054,2016年,05月,1,2016/05/08,/dataset-00000054,1,1,201605
dataset-00000054,2016年,05月,1,2016/05/08,/dataset-00000054/,2,2,201605
gr_0010,2016年,05月,1,2016/05/08,/gr_0010,3,2,201605
gr_0020,2016年,05月,1,2016/05/08,/gr_0020,5,4,201605
gr_0030,2016年,05月,1,2016/05/08,/gr_0030,5,5,201605
gr_0040,2016年,05月,1,2016/05/08,/gr_0040,4,4,201605
gr_0050,2016年,05月,1,2016/05/08,/gr_0050,4,3,201605
gr_0060,2016年,05月,1,2016/05/08,/gr_0060,7,3,201605
gr_0070,2016年,05月,1,2016/05/08,/gr_0070,5,5,201605
gr_0080,2016年,05月,1,2016/05/08,/gr_0080,2,2,201605
?sort=released,2016年,05月,1,2016/05/09,/?sort=released,2,2,201605
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2016年,05月,1,2016/05/09,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,1,1,201605
5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0140,2016年,05月,1,2016/05/09,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0140,2,2,201605
5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0150,2016年,05月,1,2016/05/09,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0150,1,1,201605
5eccbc53-86ea-482a-8594-5224aaf5f2c6?tags=情報啓発,2016年,05月,1,2016/05/09,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?tags=情報啓発,1,1,201605
activity,2016年,05月,1,2016/05/09,/activity/,6,4,201605
anshin,2016年,05月,1,2016/05/09,/anshin/,1,1,201605
