0

HTTP/1.1 200 OK
Server: nginx
Date: Thu, 08 Jun 2017 08:42:46 GMT
Content-Type: application/octet-stream
Transfer-Encoding: chunked
Connection: keep-alive
Pragma: no-cache
Cache-Control: no-cache
Accept-Ranges: bytes
Last-Modified: Thu, 01 Jun 2017 05:15:53 GMT
Content-Range: bytes 0-1065009/1065010
ETag: "1496294153.22-1065010"

1f0f
﻿第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
dataset-00000038,2016年,04月,1,2016/04/13,/dataset-00000038/,1,1,201604
dataset-00000043,2016年,04月,1,2016/04/13,/dataset-00000043,1,1,201604
dataset-00000047,2016年,04月,1,2016/04/13,/dataset-00000047,2,1,201604
dataset-00000047,2016年,04月,1,2016/04/13,/dataset-00000047/,2,2,201604
dataset-00000049,2016年,04月,1,2016/04/13,/dataset-00000049,1,1,201604
dataset-00000049,2016年,04月,1,2016/04/13,/dataset-00000049/,2,2,201604
dataset-00000050,2016年,04月,1,2016/04/13,/dataset-00000050,5,4,201604
dataset-00000050,2016年,04月,1,2016/04/13,/dataset-00000050/,6,5,201604
dataset-00000051,2016年,04月,1,2016/04/13,/dataset-00000051,1,1,201604
dataset-00000052,2016年,04月,1,2016/04/13,/dataset-00000052,1,1,201604
dataset-00000053,2016年,04月,1,2016/04/13,/dataset-00000053,6,5,201604
dataset-00000053,2016年,04月,1,2016/04/13,/dataset-00000053/,3,3,201604
dataset-00000054,2016年,04月,1,2016/04/13,/dataset-00000054,15,14,201604
dataset-00000054,2016年,04月,1,2016/04/13,/dataset-00000054/,18,14,201604
ea98c354-262b-4cff-a061-477b74f43bcc,2016年,04月,1,2016/04/13,/ea98c354-262b-4cff-a061-477b74f43bcc,1,1,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,2016年,04月,1,2016/04/13,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,2,1,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0090,2016年,04月,1,2016/04/13,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0090,2,2,201604
gr_0010,2016年,04月,1,2016/04/13,/gr_0010,40,27,201604
gr_0010?q=&sort=title_string+asc,2016年,04月,1,2016/04/13,/gr_0010?q=&sort=title_string+asc,1,1,201604
gr_0020,2016年,04月,1,2016/04/13,/gr_0020,35,17,201604
gr_0020?page=2,2016年,04月,1,2016/04/13,/gr_0020?page=2,2,2,201604
gr_0030,2016年,04月,1,2016/04/13,/gr_0030,13,12,201604
gr_0040,2016年,04月,1,2016/04/13,/gr_0040,19,15,201604
gr_0050,2016年,04月,1,2016/04/13,/gr_0050,9,8,201604
gr_0060,2016年,04月,1,2016/04/13,/gr_0060,12,10,201604
gr_0070,2016年,04月,1,2016/04/13,/gr_0070,6,6,201604
gr_0080,2016年,04月,1,2016/04/13,/gr_0080,11,10,201604
groups,2016年,04月,1,2016/04/13,/groups/,2,2,201604
iryo,2016年,04月,1,2016/04/13,/iryo/,1,1,201604
jigyosha,2016年,04月,1,2016/04/13,/jigyosha/,1,1,201604
kanko,2016年,04月,1,2016/04/13,/kanko/,2,2,201604
kosodate,2016年,04月,1,2016/04/13,/kosodate/,1,1,201604
kotsu,2016年,04月,1,2016/04/13,/kotsu/,1,1,201604
kurashi,2016年,04月,1,2016/04/13,/kurashi/,2,2,201604
org_0010,2016年,04月,1,2016/04/13,/org_0010,1,1,201604
org_0160,2016年,04月,1,2016/04/13,/org_0160,1,1,201604
org_0240,2016年,04月,1,2016/04/13,/org_0240,1,1,201604
shisei,2016年,04月,1,2016/04/13,/shisei/,2,2,201604
sonota,2016年,04月,1,2016/04/13,/sonota/,1,1,201604
?sort=released,2016年,04月,1,2016/04/14,/?sort=released,1,1,201604
0f6fa0bc-0b25-4796-8197-8f0735f1cd14,2016年,04月,1,2016/0
2000
4/14,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14,1,1,201604
0f6fa0bc-0b25-4796-8197-8f0735f1cd14?organization=org_0070,2016年,04月,1,2016/04/14,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14?organization=org_0070,1,1,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9,2016年,04月,1,2016/04/14,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9,3,2,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2016年,04月,1,2016/04/14,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,7,4,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160&groups=gr_0050,2016年,04月,1,2016/04/14,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160&groups=gr_0050,2,1,201604
5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0010,2016年,04月,1,2016/04/14,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0010,1,1,201604
about,2016年,04月,1,2016/04/14,/about/,7,5,201604
activity,2016年,04月,1,2016/04/14,/activity/,19,15,201604
anshin,2016年,04月,1,2016/04/14,/anshin/,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,2,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2,2,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS&tags=統計,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?res_format=XLS&tags=統計,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=情報啓発&organization=org_0010,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=情報啓発&organization=org_0010,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,2016年,04月,1,2016/04/14,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,5,2,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,4,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010&tags=イベント,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010&tags=イベント,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0040,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0040,2,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2,2,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100&groups=gr_0010,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100&groups=gr_0010,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0170,2016年,04月,1,2016/04/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0170,1,1,201604
