number,name,zipcode,area,location,lat,lng,category,note
54,神戸市役所本庁舎(1号館),650-0001,中央区,神戸市中央区加納町6丁目5番1号,34.689485,135.1959,官公庁,対応不可
55,神戸市立中央体育館,650-0017,中央区,神戸市中央区楠町4-1-1,34.682983,135.17453,体育施設・スポーツクラブ,対応不可
56,東町、江戸町ビル管理組合,650-0033,中央区,神戸市中央区江戸町98-1,34.689318,135.194567,会社・事業所,対応不可
57,神戸市環境局中央事業所,651-0072,中央区,神戸市中央区脇浜町3-2-30,34.700099,135.211389,官公庁,対応不可
58,神戸市立生田川児童館,651-0081,中央区,神戸市中央区真砂通2-1-1,34.695012,135.204624,学校・園・児童館,対応不可
59,神戸市立神戸諏訪山児童館,650-0012,中央区,神戸市中央区北長狭通4-9-5 元町北会館2階,34.690735,135.185808,学校・園・児童館,対応不可
60,神戸市立清風児童館,650-0017,中央区,神戸市中央区楠町8丁目10-3,34.686396,135.174391,学校・園・児童館,対応不可
61,たちばな児童館,650-0016,中央区,神戸市中央区橘通3-4-1,34.681515,135.174394,学校・園・児童館,対応不可
62,神戸市立八雲児童館,651-0078,中央区,神戸市中央区八雲通1-1-7,34.700918,135.206894,学校・園・児童館,対応不可
69,こうべまちづくりセンター,650-0022,中央区,神戸市中央区元町通4-2-14,34.686097,135.182962,集会場・ホール,対応不可
70,神戸市勤労会館,651-0096,中央区,神戸市中央区雲井通5-1-2,34.694746,135.197367,集会場・ホール,対応不可
71,株式会社 そごう神戸店,651-0088,中央区,神戸市中央区小野柄通8丁目1番8号,34.693204,135.195649,商業施設,対応不可
72,神戸市産業振興センター,650-0044,中央区,神戸市中央区東川崎町1-8-4,34.680587,135.181736,官公庁,対応不可
73,JR神戸駅,650-0025,中央区,神戸市中央区相生町3-1-1,34.680011,135.178289,公共交通機関,24時間利用可
74,JR新神戸駅,650-0001,中央区,神戸市中央区加納町1-3-1,34.706218,135.195336,公共交通機関,対応不可
75,JR三ノ宮駅,651-0097,中央区,神戸市中央区布引町4-1-1,34.694456,135.194566,公共交通機関,対応不可
77,神戸市営地下鉄 旧居留地・大丸前駅,650-0021,中央区,神戸市中央区三宮町2丁目,34.689326,135.190142,公共交通機関,対応不可
78,神戸市営地下鉄 みなと元町駅,650-0023,中央区,神戸市中央区栄町通4丁目,34.685997,135.184111,公共交通機関,対応不可
80,日本放送協会神戸放送局,650-0004,中央区,神戸市中央区中山手通2丁目24番7号,34.695376,135.188431,会社・事業所,対応不可
81,上筒井小学校,651-0054,中央区,神戸市中央区野崎通1丁目1番2号,34.710642,135.211454,学校・園・児童館,対応不可
